No.,Time,Source,Destination,Protocol,Length,Info
167,1828.925431,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
168,1828.928696,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
169,1828.932022,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
170,1828.935317,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
171,1828.938613,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
172,1828.941909,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
173,1828.945174,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
174,1828.948441,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
175,1828.951706,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
176,1828.955017,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
177,1828.958298,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
178,1828.961564,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
179,1828.964829,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
180,1828.968094,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
181,1828.97136,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
182,1828.974643,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
183,1828.97792,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
184,1828.981185,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
185,1828.984452,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
186,1828.987717,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
187,1828.990983,fe80::c30c:0:0:2,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
188,1859.999946,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
189,1919.999947,fe80::c30c:0:0:1,ff02::1a,ICMPv6,64,'RPL Control (DODAG Information Solicitation)'
